GeneID,diseaseID,label,score
4508,C1839022,1.0,2.104091167449951
7306,C2931599,1.0,1.7413463592529297
9622,C2673922,1.0,-29.097084045410156
2318,C3279722,1.0,2.49298357963562
79600,C3280031,1.0,-0.6422963738441467
644096,C0011269,1.0,1.9715434312820435
8456,C1866426,1.0,-46.98535919189453
435,C0268547,1.0,1.9924415349960327
3363,C0751509,1.0,2.2915897369384766
1141,C0751509,1.0,2.248649835586548
79365,C0751509,1.0,2.2093400955200195
7531,C2750748,1.0,2.2955727577209473
5048,C2750748,1.0,2.356264114379883
5896,C2931884,1.0,2.1547112464904785
5897,C2931884,1.0,2.027369499206543
64421,C2931884,1.0,2.206927537918091
54664,C4693779,1.0,2.2634925842285156
10133,C0339573,1.0,2.210200786590576
858,C0339573,1.0,2.241464614868164
10587,C0339573,1.0,1.0825893878936768
54499,C0339573,1.0,1.8597136735916138
7159,C0339573,1.0,2.305579900741577
4653,C0339573,1.0,1.7767043113708496
134430,C0339573,1.0,1.7314685583114624
5137,C4748334,1.0,2.4018967151641846
91624,C3151267,1.0,1.5435723066329956
727857,C1856789,1.0,2.1541202068328857
5378,C2931459,1.0,1.9611951112747192
91754,C4310760,1.0,1.6780474185943604
9688,C4225166,1.0,1.5785548686981201
8482,C3899503,1.0,-29.26403045654297
152831,C3899503,1.0,2.260016679763794
6011,C3150678,1.0,2.009002208709717
27019,C0022521,1.0,1.925452709197998
1767,C0022521,1.0,2.2752959728240967
54768,C0022521,1.0,1.6041946411132812
352909,C0022521,1.0,2.13456654548645
93233,C0022521,1.0,0.3892225921154022
200373,C0022521,1.0,-22.609697341918945
92749,C0022521,1.0,-46.96113586425781
388389,C0022521,1.0,-24.204261779785156
55130,C0022521,1.0,-18.458309173583984
23639,C0022521,1.0,-29.035396575927734
89765,C0022521,1.0,-27.674318313598633
1770,C0022521,1.0,2.4485270977020264
25981,C0022521,1.0,0.6490849256515503
55036,C0022521,1.0,2.326021671295166
83538,C0022521,1.0,2.337994337081909
246176,C0022521,1.0,-29.454803466796875
2302,C0022521,1.0,-37.588260650634766
10309,C0022521,1.0,-0.4008132219314575
374407,C0022521,1.0,0.5336533784866333
83861,C0022521,1.0,-17.37494659423828
2622,C0022521,1.0,2.1121535301208496
27148,C0022521,1.0,2.012364149093628
6103,C0022521,1.0,1.4638195037841797
115399,C0022521,1.0,1.284930944442749
6674,C0022521,1.0,-0.6154245138168335
345643,C0022521,1.0,-34.741004943847656
8481,C0022521,1.0,2.3575799465179443
79925,C0022521,1.0,-43.199195861816406
51364,C0022521,1.0,0.4988039433956146
